1309647907	20250618	202506	2025	2025.4603											CRM	MAFIA						CRM			0	190	190	19	4	-10.0	10	1	10	-5.89970501474926	0								1	Albania	AL	AL		41	20	AL	1	Albania	AL	AL		41	20	AL	20260618131500	https://www.lagazzettadelmezzogiorno.it/news/foggia/2019061/omicidio-dedda-il-boss-moretti-smentisce-il-pentito-gianluigi-troiano-di-vieste.html
1309647908	20250618	202506	2025	2025.4603	GOV	GOVERNMENT						GOV													0	040	040	04	1	1.0	10	1	10	-1.29617627997408	1	United Kingdom	UK	UK		54	-4	UK	0								1	United Kingdom	UK	UK		54	-4	UK	20260618131500	https://www.internazionale.it/magazine/quinn-slobodian/2026/06/16/elon-musk-space-x
1309647909	20250618	202506	2025	2025.4603	GOVHLH	MINIST OF HEALTH						GOV	HLH												0	050	050	05	1	3.5	10	1	10	1.8450184501845	1	Luxembourg	LU	LU		49.75	6.166667	LU	0								1	Luxembourg	LU	LU		49.75	6.166667	LU	20260618131500	http://www.em.com.br/politica/2026/06/7443319-da-nossa-parte-nao-ha-disputa-pela-paternidade-diz-presidente-da-hu.html
1309647910	20250618	202506	2025	2025.4603	HLH	HOSPITAL						HLH													0	013	013	01	1	0.4	10	1	10	4.44874274661509	1	Ireland	EI	EI		53	-8	EI	0								1	Ireland	EI	EI		53	-8	EI	20260618131500	https://www.vecernji.ba/vijesti/prva-transplantacija-bubrega-vazan-je-signal-napretka-1970190
1309647911	20250618	202506	2025	2025.4603	HTI	HAITIAN	HTI																		1	111	111	11	3	-2.0	8	1	8	-4.54545454545454	1	Haiti	HA	HA		19	-72.416667	HA	0								1	Haiti	HA	HA		19	-72.416667	HA	20260618131500	https://puranoticia.pnt.cl/nacional/unicef-pide-aclarar-con-urgencia-el-paradero-de-ninos-haitianos-que
1309647912	20250618	202506	2025	2025.4603	MILGOV	FIRST LIEUTENANT						MIL	GOV		cat	CATALAN			cat						1	042	042	04	1	1.9	10	1	10	0.16447368421053	4	Valencia, Carabobo, Venezuela	VE	VE07	31933	10.1806	-68.0039	-960192	4	Valencia, Carabobo, Venezuela	VE	VE07	31933	10.1806	-68.0039	-960192	4	Valencia, Carabobo, Venezuela	VE	VE07	31933	10.1806	-68.0039	-960192	20260618131500	https://www.larazon.es/cataluna/independentismo-carga-psc-nombrar-alto-cargo-critico-inmersion-linguistica_202606186a33eaa69f03cb0254d49bdf.html
1309647913	20250618	202506	2025	2025.4603	cat	CATALAN			cat						MILGOV	FIRST LIEUTENANT						MIL	GOV		1	043	043	04	1	2.8	10	1	10	0.16447368421053	4	Valencia, Carabobo, Venezuela	VE	VE07	31933	10.1806	-68.0039	-960192	4	Valencia, Carabobo, Venezuela	VE	VE07	31933	10.1806	-68.0039	-960192	4	Valencia, Carabobo, Venezuela	VE	VE07	31933	10.1806	-68.0039	-960192	20260618131500	https://www.larazon.es/cataluna/independentismo-carga-psc-nombrar-alto-cargo-critico-inmersion-linguistica_202606186a33eaa69f03cb0254d49bdf.html
1309647914	20260617	202606	2026	2026.4575	ITA	LAZIO	ITA																		1	046	046	04	1	7.0	10	1	10	-2.5	4	Civitavecchia, Lazio, Italy	IT	IT07	18350	42.1	11.8	-115666	0								4	Civitavecchia, Lazio, Italy	IT	IT07	18350	42.1	11.8	-115666	20260618131500	https://www.newtuscia.it/2026/06/18/lavoro-cgil-e-fiom-no-ai-100-licenziamenti-alla-koch-glitsch-kes-italy-subito-tavolo-di-crisi-al-mimit/
1309647915	20260618	202606	2026	2026.4603											AFR	AFRICA	AFR								0	061	061	06	2	6.4	4	1	4	0.57971014492754	0								1	Italy	IT	IT		42.833333	12.833333	IT	1	Nigeria	NI	NI		10	8	NI	20260618131500	https://www.internazionale.it/magazine/angela-giuffrida/2026/06/18/il-colpo-di-fortuna-di-un-migrante-nigeriano
1309647916	20260618	202606	2026	2026.4603											AFR	AFRICA	AFR								0	061	061	06	2	6.4	6	1	6	0.57971014492754	0								1	Nigeria	NI	NI		10	8	NI	1	Nigeria	NI	NI		10	8	NI	20260618131500	https://www.internazionale.it/magazine/angela-giuffrida/2026/06/18/il-colpo-di-fortuna-di-un-migrante-nigeriano
