1309650479	20250618	202506	2025	2025.4603											CVL	RESIDENTS						CVL			1	190	190	19	4	-10.0	10	1	10	-6.8075117370892	0								0								0								20260618133000	https://www.zazoom.it/2026-06-18/arezzo-maxi-rissa-in-pieno-centro-storico-il-questore-emette-cinque-dacur-contro-i-giovani-coinvolti/19360539/
1309650480	20250618	202506	2025	2025.4603	BUS	COMPANY						BUS													1	010	010	01	1	0.0	10	1	10	0	1	France	FR	FR		46	2	FR	0								1	France	FR	FR		46	2	FR	20260618133000	https://tn.com.ar/tecno/novedades/2026/06/18/las-acciones-de-snap-se-desplomaron-luego-de-la-presentacion-de-sus-anteojos-smart-son-ridiculamente-caros/
1309650481	20250618	202506	2025	2025.4603	CVL	RESIDENTS						CVL													1	190	190	19	4	-10.0	10	1	10	-6.8075117370892	0								0								0								20260618133000	https://www.zazoom.it/2026-06-18/arezzo-maxi-rissa-in-pieno-centro-storico-il-questore-emette-cinque-dacur-contro-i-giovani-coinvolti/19360539/
1309650482	20260617	202606	2026	2026.4575											LEG	NATIONAL ASSEMBLY						LEG			1	043	043	04	1	2.8	2	1	2	4.76190476190476	0								1		RB	RB				RB	1		RB	RB				RB	20260618133000	https://www.rtrs.tv/vijesti/vijest.php?id=649928
1309650483	20260617	202606	2026	2026.4575	GOV	MAYOR						GOV			LEG	NATIONAL ASSEMBLY						LEG			1	043	043	04	1	2.8	8	1	8	4.76190476190476	1		RB	RB				RB	1		RB	RB				RB	1		RB	RB				RB	20260618133000	https://www.rtrs.tv/vijesti/vijest.php?id=649928
1309650484	20260617	202606	2026	2026.4575	LEG	NATIONAL ASSEMBLY						LEG													1	042	042	04	1	1.9	2	1	2	4.76190476190476	1		RB	RB				RB	0								1		RB	RB				RB	20260618133000	https://www.rtrs.tv/vijesti/vijest.php?id=649928
1309650485	20260617	202606	2026	2026.4575	LEG	NATIONAL ASSEMBLY						LEG			GOV	MAYOR						GOV			1	042	042	04	1	1.9	8	1	8	4.76190476190476	1		RB	RB				RB	1		RB	RB				RB	1		RB	RB				RB	20260618133000	https://www.rtrs.tv/vijesti/vijest.php?id=649928
1309650486	20260618	202606	2026	2026.4603											ALB	ALBANIA	ALB								0	130	130	13	3	-4.4	10	1	10	-0.986842105263159	0								1	Albania	AL	AL		41	20	AL	1	Albania	AL	AL		41	20	AL	20260618133000	https://opinion.al/zverneci-zbardhet-rezoluta-e-pe-komisioni-e-ka-paralajmeruar-shqiperine/
1309650487	20260618	202606	2026	2026.4603											ARM	ARMENIA	ARM								1	141	141	14	3	-6.5	8	1	8	-6.66666666666663	0								4	Gyumri, Shirak, Armenia	AM	AM07	4926	40.7942	43.8453	-2324859	4	Gyumri, Shirak, Armenia	AM	AM07	4926	40.7942	43.8453	-2324859	20260618133000	https://www.vesti.ru/ns/mid-rf-napravil-notu-protesta-armenii-iz-za-oskverneniya-memoriala-v-gyumri
1309650488	20260618	202606	2026	2026.4603											BGD	DHAKA	BGD								1	042	042	04	1	1.9	2	1	2	-3.00429184549356	0								4	Uttara, Rangpur, Bangladesh	BG	BG87	5818	25.5694	89.0408	11281553	4	Uttara, Rangpur, Bangladesh	BG	BG87	5818	25.5694	89.0408	11281553	20260618133000	https://www.bd-pratidin.com/city-news/2026/06/18/1263846
1309650489	20260618	202606	2026	2026.4603											BGR	SOFIA	BGR								0	042	042	04	1	1.9	10	1	10	6.10079575596817	0								4	Pontevedra, Galicia, Spain	SP	SP58	25819	42.4333	-8.63333	-397117	4	Pontevedra, Galicia, Spain	SP	SP58	25819	42.4333	-8.63333	-397117	20260618133000	https://www.europapress.es/chance/realeza/noticia-reina-sofia-explosion-color-look-lleno-simbolismo-regreso-don-juan-carlos-espana-20260618141048.html
1309650490	20260618	202606	2026	2026.4603											BLR	MINSK	BLR								0	057	057	05	1	8.0	10	1	10	-1.34228187919463	0								4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	20260618133000	https://news.mail.ru/politics/71316214/
1309650491	20260618	202606	2026	2026.4603											BUS	BUSINESS LEADER						BUS			0	040	040	04	1	1.0	10	1	10	3.96270396270396	0								1	Portugal	PO	PO		39.5	-8	PO	1	Portugal	PO	PO		39.5	-8	PO	20260618133000	https://hrportugal.sapo.pt/como-as-competencias-impulsionam-o-crescimento-organizacional/
1309650492	20260618	202606	2026	2026.4603											BUS	COMPANIES						BUS			1	051	051	05	1	3.4	10	1	10	-0.4149377593361	0								1	Cyprus	CY	CY		35	33	CY	1	Cyprus	CY	CY		35	33	CY	20260618133000	https://economytoday.sigmalive.com/bafeadis-oi-neoi-kanones-stis-aerometafores-enisxyoyn-ti-syndesimotita-tis-kyproy/
